"Duration (in seconds)","Finished","RecordedDate","ExternalReference","UserLanguage","Q5","Q6","Q1","Q7","Q8","Q9","Q27","Q10","Q24","Q23","Q24_1","Q19_1","Q19_2","Q19_3","Q19_4","Q19_5","Q19_6","Q19_7","Q19_8","Q21_1","Q21_2","Q21_3","Q21_4","Q21_5","Q21_6","Q21_7","Q21_8","Q22_1","Q22_2","Q22_3","Q22_4","Q29_1","Q29_2","Q29_3","Q29_4","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q31_6","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","source","RandomID","Q40 - Parent Topics","Q40 - Topics"
"125","True","2020-06-01 17:19:05",NA,"EN","Tamil Nadu","MADURAI","4","30-39","Male","0","Yes","IT","Yes","1-5","1-5","4","5","4","5","6","5","5","3","5","4","5","6","5","4","5","6","3","4","3","4","4","3","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","6271",NA,NA
"209","True","2020-06-01 17:19:34",NA,"EN","Maharashtra","Mumbai","5+","40-49","Male","0","Yes","Printers","No","1-5","1-5","7+","7+","2","3","2","0","0","0","7+","7+","0","0","0","0","0","0","3","3","4","4","3","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","3846",NA,NA
"132","True","2020-06-01 17:22:05",NA,"EN","Tamil Nadu","MADURAI","4","30-39","Male","0",NA,"IT","Yes",NA,NA,"4","5","4","5","4","3","4","5","4","5","5","4","3","5","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3","4","3","4","4","3","4","3","4","3","mturk","2151",NA,NA
"67","True","2020-06-01 17:22:33",NA,"EN","Tamil Nadu","chennai","2","30-39","Male","2","Yes","manager","Yes","6-10","6-10","7+","6","5","5","6","7+","7+","6","5","6","7+","6","6","6","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","5+","5+","4","5+","4","4","5+","5+","4","4","mturk","1264",NA,NA
"49","True","2020-06-01 17:29:21",NA,"EN","Tamil Nadu","YES","1","20-29","Male","1","Yes","YES","Yes","1-5","0","1","2","3","4","5","4","5","6","2","3","4","3","4","5","4","3",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","3","2","3","4","1","3","3","2","4","2","mturk","6894",NA,NA
"155","True","2020-06-01 17:29:49",NA,"EN","Maharashtra","PUNE","5+","30-39","Male","2","Yes","FITTER","No","6-10","1-5","4","5","4","6","5","4","6","4","4","3","2","3","4","4","3","5","3","2","3","4","2","4","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","3362",NA,NA
"96","True","2020-06-01 17:30:13",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Male","2","Yes","MANAGER","Yes","6-10","1-5","2","5","5","3","6","4","6","2","6","3","5","6","3","6","4","6",NA,NA,NA,NA,NA,NA,NA,NA,"2","4","3","1","4","2",NA,"4","3","4","3","4","mturk","9854",NA,NA
"198","True","2020-06-01 17:31:35",NA,"EN","Tamil Nadu","Coimbatore","3","30-39","Male","0","Yes","Financial","Yes","6-10","1-5","7+","5","6","6","7+","5","6","7+","4","7+","6","6","7+","7+","7+","5","4","5+","3","4","5+","4","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","4567",NA,NA
"135","True","2020-06-01 17:33:14",NA,"EN","Tamil Nadu","yes","1","20-29","Male","1","Yes","yes","Yes","1-5","6-10","1","2","3","4","5","4","6","7+","4","3","2","3","4","5","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"2","3","2","3","4","3","2","3","2","3","3","2","mturk","1987",NA,NA
"79","True","2020-06-01 17:33:20",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Female","3","Yes","MANAGER","Yes","6-10","6-10","6","2","5","2","4","6","3","5","4","3","6","5","4","6","4","5","4","3",NA,"4","1","5+","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","2113",NA,NA
"239","True","2020-06-01 17:36:07",NA,"EN","Tamil Nadu","chennai","4","30-39","Male","1","Yes","manager","Yes","6-10","1-5","4","6","5","4","5","6","5","5","4","6","5","4","5","6","5","4",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","2","3","3","4","3","4","3","2","3","4","mturk","1601",NA,NA
"133","True","2020-06-01 17:36:36",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Female","3",NA,"MANAGER","Yes","6-10","6-10","5","4","6","5","6","4","6","5","5","7+","6","3","6","7+","6","6",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3","5+","4","3","4","3","4","4","3","3","mturk","1690",NA,NA
"323","True","2020-06-01 17:40:15",NA,"EN","Tamil Nadu","CHENNAI","4","30-39","Female","1","Yes","MANAGER","Yes","6-10","6-10","4","6","5","6","4","6","5","4","4","6","5","4","5","4","5","5","3","4","2","3","3","4","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","4452",NA,NA
"221","True","2020-06-01 17:40:52",NA,"EN","Tamil Nadu","dindigul","4","20-29","Male","0","Yes","amazon mturker","Yes","1-5","1-5","6","5","6","5","6","5","6","5","5","6","5","5","6","5","6","5",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3","4","3","4","3","4","3","4","3","4","mturk","9593",NA,NA
"240","True","2020-06-01 17:41:53",NA,"EN","Tamil Nadu","Madurai","4","20-29","Female","0","Yes","Software Developer","No","1-5","0","5","6","3","3","2","0","0","2","3","1","1","0","0","0","0","1","3","1","0","0","3","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","2932",NA,NA
"98","True","2020-06-01 17:45:36",NA,"EN","Tamil Nadu","madurai","1","20-29","Male","1","Yes","finance","Yes","1-5","0","1","3","4","6","4","5","6","4","3","5",NA,"5","6","4","6","7+","2","4","4","3","3","4","5+","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","5595",NA,NA
"180","True","2020-06-01 17:45:54",NA,"EN","Tamil Nadu","chennai","4","20-29","Male","0","Yes","finance","No","0","0","0","1","0","0","0","0","0","0","0","2","0","0",NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","mturk","1012",NA,NA
"141","True","2020-06-01 17:47:46",NA,"EN","Tamil Nadu","MADURAI","4","20-29","Male","4","Yes","BUSINESSMAN","Yes","1-5","11-15","7+","6","7+","5","6","7+","5","6","6","7+","6","6","7+","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","5+","4","4","5+","4","5+","4","5+","mturk","3355",NA,NA
"46","True","2020-06-01 17:48:07",NA,"EN","Tamil Nadu","yes","1","20-29","Male","2","Yes","yes","Yes","1-5","6-10","2","3","5","6","5","4","3","2","2","3","4","5","6","7+","5","5","1","2","3","4","2","3","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","3625",NA,NA
"54","True","2020-06-01 17:51:52",NA,"EN","Tamil Nadu","india","2","20-29","Male","1","Yes","yes","Yes","1-5","6-10","2","3","4","3","4","5","4","5","2","3","5","6","4","6","4","4",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","3","4","3","4","2","2","2","3","4","5+","mturk","8856",NA,NA
"743","True","2020-06-01 17:52:57",NA,"EN","Tamil Nadu","Chennai","4","30-39","Male","0","Yes","Creative Director","No","1-5","0","0","5","1","2","6","0","0","1","1","6","1","3","6","1","0","1","2","4","1","4","3","5+","2","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","6495",NA,NA
"215","True","2020-06-01 17:59:06",NA,"EN","Tamil Nadu","madurai","4","20-29","Female","1","Yes","manager","Yes","0","0","0","2","1","0","3","0","0","0","0","4","4","0","4","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","2","2","0","0","0","0","2","2","0","0","0","mturk","1478",NA,NA
"298","True","2020-06-01 17:59:18",NA,"EN","Tamil Nadu","coimbatore","4","30-39","Male","1","Yes","developer","Yes","1-5","0","1","1","2","2","1","2","1","1","2","1","2","1","1","3","2","2","5+","5+","5+","5+","5+","5+","5+","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","1805",NA,NA
"146","True","2020-06-01 18:05:10",NA,"EN","Andra Pradhesh","Kakinada","4","20-29","Female","1","Yes","Teacher","Yes","6-10","1-5","1","5","5","4","3","0","0","0","0","5","4","4","2","0","0","0","2","1","0","0","3","2","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","8751",NA,NA
"112","True","2020-06-01 18:06:06",NA,"EN","Maharashtra","PUNE","4","30-39","Male","2","Yes","ELECTRICIAN","No","1-5","1-5","4","6","5","4","5","6","5","4","3","4","3","4","3","4","3","4","3","4","2","4","4","2","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","8198",NA,NA
"142","True","2020-06-01 18:14:06",NA,"EN","Tamil Nadu","MADURAI","2","30-39","Male","0","Yes","IT","Yes","6-10","6-10","5","4","4","5","4","6","6","6","6","5","4","5","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+","5+","4","3","3","4","5+","4","3","2",NA,"8052",NA,NA
"120","True","2020-06-01 18:16:04",NA,"EN","Tamil Nadu",NA,"4","30-39","Female","1","Yes","telor","No","6-10","6-10","0","0","4","0","0","0","1","0","2","4","3","3","2","1","3","5",NA,NA,NA,NA,NA,NA,NA,NA,"1","3","3","3","2","2","4","4","3","4","3","3","mturk","1563",NA,NA
"249","True","2020-06-01 18:17:46",NA,"EN","Tamil Nadu","Chennai","5+","40-49","Female","2","Yes","senior manager","Yes","6-10","0","2","3","1","3","2","1","0","1","1","2","1","1","1","0","0","0","2","2","1","1","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","6303",NA,NA
"121","True","2020-06-01 18:18:07",NA,"EN","Tamil Nadu",NA,"1","30-39","Male","2","Yes",NA,"No","1-5","1-5","6","7+","6","7+","6","7+","6","7+","7+","6","7+","6","7+","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","4","5+","4","4","5+","5+","mturk","9484",NA,NA
"375","True","2020-06-01 18:21:24",NA,"EN","Karnataka","Bangalore","3","40-49","Male","0","No",NA,"Yes","1-5","0","2","3","2","1","4","0","0","0","3","5","3","3","6","1","0","2",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","2","2","2","2","2","2","mturk","6095",NA,NA
"145","True","2020-06-01 18:23:21",NA,"EN","Rajasthan","Kota","3","30-39","Male","1","Yes","Engineer","No","1-5","1-5","4","5","3","5","6","5","4","4","3","6","5","5","5","5","5","5","3","4","3","4","4","4","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","8790",NA,NA
"241","True","2020-06-01 18:23:53",NA,"EN","Tamil Nadu","MADURAI","5+","30-39","Male","3","Yes","ASM SALES","Yes","0","6-10","0","3","0","1","4","0","0","0","0","0","1","0","4","2","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"3","1","1","3","1","3","1","1","0","0","0","1","mturk","6121",NA,NA
"219","True","2020-06-01 18:25:51",NA,"EN","Karnataka","Bangalore","3","40-49","Female","0","Yes","Self Employed","Yes","1-5","0","1","3","2","1","4","1","0","1","3","5","4","2","5","1","0","3","1","2","2","2","2","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","4914",NA,NA
"207","True","2020-06-01 18:33:53",NA,"EN","Kerala","Kochi","4","40-49","Female","0","Yes","Librarian","No","1-5","0","0","1","0","0","1","0","1","0","0","1","0","1","1","0","1","0","1","1","0","1","1","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","3354",NA,NA
"176","True","2020-06-01 18:36:09",NA,"EN","Tamil Nadu","channai","4","30-39","Female","1","Yes","online work","No","1-5","1-5","0","1","1","1","1","1","0","0","1","1","0","0","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","1","1","0","0","0","0","0","mturk","1074",NA,NA
"79","True","2020-06-01 18:44:19",NA,"EN","Tamil Nadu","TAMILNADU","4","50-59","Female","3","Yes","IT","Yes","1-5","6-10","6","7+","7+","6","7+","6","6","7+","7+","6","7+","7+","6","7+","7+","7+","4","4","5+","4","5+","5+","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","9836",NA,NA
"188","True","2020-06-01 18:45:38",NA,"EN","Tamil Nadu","chennai","3","20-29","Male","1","Yes","manager","Yes","0","0","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","0","0","0","0","0","0","0","0","0","mturk","5424",NA,NA
"267","True","2020-06-01 18:45:51",NA,"EN","Tamil Nadu","Chennai","4","30-39","Male","2","Yes","Information Technology","Yes","0","0","0","2","1","1","2","0","0","0","1","2","1","1","1","0","0","0","2","2","5+","5+","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","2591",NA,NA
"368","True","2020-06-01 18:48:42",NA,"EN","Tamil Nadu","Chennai","2","30-39","Male","0","Yes","Software Engineer","No","0","0","0","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"2","0","0","0","0","0","0","0","0","0","0","0","mturk","4277",NA,NA
"116","True","2020-06-01 18:48:45",NA,"EN","Tamil Nadu","Erode","4","20-29","Male","2","Yes","business","Yes","1-5","6-10","6","5","6","7+","5","6","5","4","6","5","7+","6","4","5","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","5+","4","3","5+","4","3","5+","4","5+","3","mturk","7474",NA,NA
"88","True","2020-06-01 18:49:02",NA,"EN","Tamil Nadu","erode","3","20-29","Female","1","Yes","farmer","Yes","1-5","1-5","6","5","4","5","4","5","4","6","4","2","3","2","3","4","5","4","3","2","3","5+","3","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","2247",NA,NA
"416","True","2020-06-01 18:49:29",NA,"EN","Karnataka","bangalore","4","50-59","Male","1","Yes","IMPORT & EXPORT MANAGER","Yes","1-5","0","1","1","2","0","2","0","0","3","1","3","4","0","5","1","1","6","3","1","2","4","3","1","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","1007",NA,NA
"104","True","2020-06-01 18:52:14",NA,"EN","Tamil Nadu","chennai","3","20-29","Female","1","Yes","manager","No","0","0","0","1","3","2","3","0","0","1","2","1","0","1","1","0","0","1","2","1","0","0","1","1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","9695",NA,NA
"118","True","2020-06-01 18:52:16",NA,"EN","Tamil Nadu","salem","4","30-39","Male","0","Yes","information","No","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","0","0","0","1","0","0","0","0","0","mturk","5911",NA,NA
"268","True","2020-06-01 18:53:22",NA,"EN","Kerala","alapula","3","30-39","Male","1","Yes","executive","Yes","1-5","1-5","4","5","3","4","3","4","3","3","4","2","3","5","5","6","3","3",NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","2","1","2","3","3","2","4","3","4","mturk","3358",NA,NA
"175","True","2020-06-01 18:59:17",NA,"EN","Tamil Nadu","erode","4","20-29","Male","2","Yes","farmer","Yes","1-5","6-10","5","6","7+","6","5","6","7+","6","6","7+","6","5","6","7+","6","5","4","3","4","5+","4","3","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","4955",NA,NA
"126","True","2020-06-01 18:59:31",NA,"EN","Tamil Nadu","erode","3","20-29","Male","0","No","na","No","1-5","0","5","4","5","3","3","4","4","3","1","1","3","2","2","3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","3","2","3","2","2","1","3","2","1","2","mturk","6342",NA,NA
"186","True","2020-06-01 19:00:57",NA,"EN","Tamil Nadu","ERODE","4","20-29","Male","2","Yes","TEAM LEADER","No","0","0","0","0","0","0","7+","0","0","0","0","0","0","0","7+","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","mturk","1181",NA,NA
"181","True","2020-06-01 19:01:58",NA,"EN","Tamil Nadu","TIRUPUR","4","20-29","Female","4","Yes","Data entry","No","1-5","1-5","3","2","1","2","2","3","2","3","3","2","3","2","3","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"2","2","3","1","3","2","3","1","2","3","2","1","mturk","2837",NA,NA
"186","True","2020-06-01 19:03:07",NA,"EN","Kerala","Kottayam","3","50-59","Male","0","Yes","Sales man","No","1-5","0","0","2","0","0","1","0","0","0","1","2","1","0","2","0","0","0","1","1","0","0","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","4549",NA,NA
"325","True","2020-06-01 19:05:42",NA,"EN","Uttar Pradesh","Kanpur","3","30-39","Male","0","Yes","Engineer","No","1-5","0","1","2","1","0","2","0","0","1","1","2","2","1","2","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","1","1","1","1","1","1","1","1","1","mturk","9617",NA,NA
"345","True","2020-06-01 19:07:37",NA,"EN","Karnataka",NA,"4","30-39","Male","0","Yes",NA,"No","1-5","1-5","0","1","0","1","0","0","0","0","3","2","2","1","2","2","2","3","1","0","0","1","2","2","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","4185",NA,NA
"343","True","2020-06-01 19:13:14",NA,"EN","Karnataka",NA,"3","20-29","Male","0","Yes",NA,"No","0","0","0","1","0","0","1","0","0","0","5","2","1","4","4","4","3","3",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0","0","0","3","2","1","4","4","1","mturk","5978",NA,NA
"158","True","2020-06-01 19:21:22",NA,"EN","Tamil Nadu","madurai","2","20-29","Male","1","Yes","DATA OPERATOR","Yes","1-5","6-10","4","5","4","5","4","5","4","5","4","2","3","4","3","4","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","3","4","3","4","3","2","3","4","3","4","mturk","8553",NA,NA
"137","True","2020-06-01 19:21:35",NA,"EN","Tamil Nadu","Coimbatore","3","20-29","Female","1","Yes","Accounts manager","Yes","1-5","0","5","4","3","3","2","2","2","1","4","3","2","1","1","1","1","1","3","3","2","2","2","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","9543",NA,NA
"388","True","2020-06-01 19:30:42",NA,"EN","Tamil Nadu","coimbatore","3","30-39","Female","0","Yes","online job","No","1-5","1-5","1","1","2","1","2","1","1","2","1","1","2","1","1","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","2","1","1","2","1","2","1","1","2","2","mturk","5561",NA,NA
"183","True","2020-06-01 19:31:29",NA,"EN","Rajasthan","Jaipur","2","30-39","Male","0","Yes","Private job","No","1-5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","1836",NA,NA
"208","True","2020-06-01 19:31:47",NA,"EN","Kerala","Kochi","2","20-29","Male","0","Yes","Legal Consultant","Yes","1-5","0","0","2","0","0","0","0","0","0","2","2","0","0","0","0","2","3","2","2","2","2","2","3","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","1180",NA,NA
"119","True","2020-06-01 19:31:57",NA,"EN","Kerala","Malappuram","3","30-39","Male","1","Yes","Teacher","No","1-5","1-5","1","2","3","3","3","2","2","4","3","3","2","3","4","2","3","3",NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","1","3","2","2","1","4","2","1","mturk","9233",NA,NA
"127","True","2020-06-01 19:33:19",NA,"EN","Tamil Nadu","chennai","3","30-39","Male","0","Yes","clerical job","No","1-5","0","1","2","1","1","2","1","1","2","2","1","2","1","2","1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","2","1","2","2","1","1","1","2","1","mturk","1406",NA,NA
"118","True","2020-06-01 19:33:24",NA,"EN",NA,NA,"4","20-29","Male","3","Yes",NA,"Yes","6-10","1-5","0","1","1","1","0","0","1","1","3","2","1","1","2","1","2","1","1","0","1","0","1","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","9514",NA,NA
"186","True","2020-06-01 19:36:38",NA,"EN","Maharashtra","Mumbai","5+","40-49","Female","2","Yes","Graphic designer","No","0","0","1","4","2","3","2","3","2","5","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1",NA,"8505",NA,NA
"293","True","2020-06-01 19:37:25",NA,"EN","Tamil Nadu","Erode","4","30-39","Female","1","Yes","Research","Yes","1-5","0","2","5","7+","4","6","3","2","3","7+","6","6","5","6","6","6","6","3","3","3","4","5+","5+","5+","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","5177",NA,NA
"145","True","2020-06-01 19:37:44",NA,"EN","Kerala","Kottakkal","3","30-39","Female","1","Yes","Manager","No","1-5","1-5","1","1","1","2","2","1","1","1","1","2","3","2","2","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","2","1","1","1","1","0","1","1","1","1","mturk","6413",NA,NA
"175","True","2020-06-01 19:38:53",NA,"EN","Tamil Nadu","dindigul","3","30-39","Male","0","No","self employed","No","1-5","0","2","2","1","1","4","2","0","0","1","3","1","0","5","2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","0","0","0","3","1","1","0","0","0","mturk","9583",NA,NA
"88","True","2020-06-01 19:39:47",NA,"EN","Kerala","Malappuram","3","30-39","Male","2","Yes","Teacher","No","6-10","1-5","1","1","2","1","1","1","2","2","3","1","1","1","2","1","2","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","2","1","1","1","2","1","1","1","1","2","mturk","5721",NA,NA
"215","True","2020-06-01 19:41:14",NA,"EN","Tamil Nadu","Chennai","5+","40-49","Male","2","Yes","Engineer","No","1-5","0","1","1","0","1","2","0","0","0","0","1","0","0","2","0","0","0","1","1","0","1","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","4847",NA,NA
"231","True","2020-06-01 19:43:23",NA,"EN","Tamil Nadu","madurai","5+","30-39","Male","1","No","self employed","No","1-5","1-5","1","5","2","0","5","0","0","0","2","5","0","0","5","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","0","0","0","0","2","1","1","0","0","0","mturk","2191",NA,NA
"178","True","2020-06-01 19:43:46",NA,"EN","Tamil Nadu","Madurai","1","20-29","Male","0","Yes","Self employed","No","1-5","1-5","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","5+","4","5+","4","5+","4","5+","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","8851",NA,NA
"2748","True","2020-06-01 19:44:45",NA,"EN","Tamil Nadu","DINDIGUL","4","20-29","Male","0","Yes","BUSINESS","Yes","1-5","6-10","2","3","2","3","3","1","1","2","7+","6","5","5","4","6","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","1","0","0","2","1","2","2","0","0","3","mturk","6497",NA,NA
"164","True","2020-06-01 19:46:01",NA,"EN","Karnataka","bangalore","2","40-49","Female","1","Yes","IT","No","0","1-5","1","2","2","1","1","0","0","0","2","2","2","1","1","1","1","1","2","1","1","1","2","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","1578",NA,NA
"220","True","2020-06-01 19:46:35",NA,"EN","Tamil Nadu","salem","2","30-39","Male","0","Yes","software associate","No","1-5","0","0","2","1","1","0","0","0","0","1","2","1","2","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0","1","2","1","0","0","0","mturk","9955",NA,NA
"238","True","2020-06-01 19:47:52",NA,"EN","Tamil Nadu","KARUR","4","30-39","Female","0","Yes","system work","No","1-5","1-5","0","3","3","0","1","0","0","0","2","6","4","2","3","4","3","3","1","1","0","0","3","2","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","6764",NA,NA
"119","True","2020-06-01 19:48:42",NA,"EN","Tamil Nadu","MADURAI","3","20-29","Male","3","Yes","DATA ENTRY","Yes","1-5","6-10","2","3","4","5","5","4","6","4","4","5","4","5","5","5","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"2","3","4","3","2","1","1","2","3","4","3","3","mturk","5314",NA,NA
"146","True","2020-06-01 19:49:34",NA,"EN","Tamil Nadu","MADURAI","3","20-29","Male","1","Yes","DATA ENTRY","Yes","1-5",NA,"4","5","6","5","5","6","6","5","4","6","6","7+","5","5","6","5","3","4","3","3","4","3","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","9306",NA,NA
"186","True","2020-06-01 19:50:09",NA,"EN","Tamil Nadu","MADURAI","4","20-29","Female","1","Yes","SOFTWARE DEVELOPE","Yes","1-5","1-5","6","7+","6","7+","6","7+","6","7+","6","7+","6","6","7+","6","5","6","4","5+","4","5+","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","7926",NA,NA
"255","True","2020-06-01 19:50:21",NA,"EN","Maharashtra","Mumbai","4","40-49","Female","0","Yes","Designer","No","1-5","0","0","1","0","0","1","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,"9658",NA,NA
"164","True","2020-06-01 19:50:21",NA,"EN","Tamil Nadu","madurai","4","20-29","Male","1","Yes","data entry","Yes","1-5","6-10","5","3","2","4","5","6","5","6","4","3","2","4","5","5","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","2","1","3","4","3","2","2","3","4","4","mturk","7626",NA,NA
"268","True","2020-06-01 19:50:23",NA,"EN","Tamil Nadu","Chennai","5+","50-59","Male","1","Yes","Transcription","Yes","1-5","0","1","2","1","1","3","0","0","1","1","2","1","1","2","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","1","1","1","1","1","0","1","1","mturk","3177",NA,NA
"895","True","2020-06-01 19:51:59",NA,"EN","Assam","Guwahati","3","30-39","Female","0","No",NA,"No","1-5","0","4","2","2","2","2","0","0","0","5","4","4","2","4","1","0","3",NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3","1","1","1","1","1","1","1","2","2","mturk","4807",NA,NA
"173","True","2020-06-01 19:52:28",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Male","2","Yes","DATA OPERATOR","No","6-10","0","4","5","6","4","4","6","5","4","3","4","5","4","4","5","6","7+","3","2","2","3","4","3","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","2468",NA,NA
"273","True","2020-06-01 19:53:13",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Male","2","Yes","DATA ENTRY","Yes","6-10","6-10","3","5","4","3","5","6","5","4","5","4","6","4","5","6","7+","4","3","5+","3","4","3","4","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","4200",NA,NA
